household_id,year,month,bill_amount,estimated_kwh,total_duration_hours,total_power_watt,active_device_count
4,2025,5,613835.59,428.414,3.74,3690.26,16
4,2025,6,528940.24,193.266,3.63,1773.2,9
4,2025,7,454135.42,248.924,8.44,951.7,9
4,2025,8,394605.43,179.826,3.25,1783.16,9
4,2025,9,541623.01,565.54,4.67,4036.8,18
4,2025,10,892007.52,989.72,9.49,3362.6,15
4,2025,11,668751.09,207.84,4.41,1570.09,18
4,2025,12,934969.82,934.596,7.41,4068.54,19
5,2024,1,401049.25,159.021,7.97,643.68,5
5,2024,2,330459.02,152.397,7.31,718.48,8
5,2024,3,265466.92,150.608,3.64,1333.96,12
5,2024,4,594262.38,703.667,8.49,2763.2,17
5,2024,5,685560.42,475.715,5.11,3003.41,12
5,2024,6,638389.99,396.219,9.58,1378.03,7
5,2024,7,567952.23,314.484,3.83,2645.61,16
5,2024,8,511578.13,275.682,6.0,1483.32,11
5,2024,9,523482.56,437.666,4.52,3225.2,21
5,2024,10,459413.38,190.757,5.93,1037.89,12
5,2024,11,434816.28,259.034,7.91,1091.03,6
5,2024,12,512349.77,505.807,8.51,1916.86,14
5,2025,1,566621.01,414.423,6.59,2028.86,14
5,2025,2,718608.68,673.633,6.53,3686.85,15
5,2025,3,693236.56,415.787,6.46,2076.56,9
5,2025,4,587628.99,235.424,3.39,2315.59,10
5,2025,5,552610.27,451.017,8.2,1774.51,13
5,2025,6,477827.73,275.681,5.61,1639.25,7
5,2025,7,738450.38,701.573,9.71,2330.97,16
5,2025,8,595122.07,230.551,7.81,951.81,7
5,2025,9,511466.65,219.415,4.46,1638.62,20
5,2025,10,555169.55,452.326,8.85,1647.95,15
5,2025,11,469005.28,247.38,3.99,2066.06,8
5,2025,12,572128.8,460.831,8.29,1793.77,19
6,2024,1,300779.46,249.82,3.31,2432.79,10
6,2024,2,326986.81,277.317,7.11,1345.88,8
6,2024,3,487989.65,482.752,7.46,2086.61,9
6,2024,4,444175.36,199.899,3.41,1955.9,9
6,2024,5,863912.69,871.565,6.38,4408.12,19
6,2024,6,803980.32,480.134,9.37,1708.62,10
6,2024,7,703562.13,389.063,6.72,1867.66,11
6,2024,8,739404.59,563.51,7.42,2451.21,10
6,2024,9,601221.98,240.537,9.49,844.68,10
6,2024,10,432851.57,142.052,3.05,1501.81,8
6,2024,11,632100.87,735.152,7.34,3337.43,13
6,2024,12,917415.17,907.53,8.04,3638.99,15
6,2025,1,732407.19,303.949,8.13,1206.46,12
6,2025,2,1117182.09,1029.741,9.79,3757.03,19
6,2025,3,1022880.5,650.882,5.43,3869.95,18
6,2025,4,1132622.42,720.954,6.43,3738.67,17
6,2025,5,924533.74,408.675,8.56,1540.84,10
6,2025,6,1406151.47,1339.03,9.47,4711.79,21
6,2025,7,906872.03,51.801,3.76,443.83,5
6,2025,8,970461.47,677.29,9.06,2411.97,11
6,2025,9,790352.87,296.568,7.35,1344.38,11
6,2025,10,587889.76,207.135,7.74,863.17,5
6,2025,11,662808.59,449.699,4.66,3214.24,16
6,2025,12,803756.64,737.579,5.09,4672.04,20
7,2024,1,252826.79,177.437,3.59,1592.74,14
7,2024,2,830159.15,1305.809,9.99,4506.75,20
7,2024,3,966500.45,794.941,9.98,2568.68,14
7,2024,4,792449.28,297.561,9.41,1054.39,7
7,2024,5,530348.81,75.604,4.41,552.54,6
7,2024,6,487487.89,346.29,5.4,2136.39,11
7,2024,7,608836.78,576.34,4.99,3724.44,21
7,2024,8,678944.12,683.738,9.36,2355.55,17
7,2024,9,572156.22,241.681,5.1,1580.95,8
7,2024,10,590801.8,457.929,9.12,1619.69,15
7,2024,11,591205.66,362.264,6.07,1989.8,9
7,2024,12,919294.73,978.128,8.7,3625.7,18
7,2025,1,723680.03,250.285,3.71,2174.29,12
7,2025,2,525449.11,232.749,6.03,1378.33,8
7,2025,3,426616.24,217.502,4.72,1485.7,17
7,2025,4,332114.09,161.457,5.19,1037.37,6
7,2025,5,402360.37,333.368,7.89,1363.43,15
7,2025,6,418597.05,294.696,5.92,1660.37,11
7,2025,7,335447.02,195.683,6.56,962.66,12
7,2025,8,647759.81,785.883,8.46,2995.14,19
7,2025,9,554286.37,188.706,6.36,989.18,8
7,2025,10,507113.99,411.472,9.51,1395.32,10
7,2025,11,426353.9,203.351,3.33,2034.55,19
7,2025,12,318594.21,185.851,4.32,1388.33,17
8,2024,1,609880.73,524.374,7.13,2371.96,13
8,2024,2,609318.02,447.153,7.33,2102.46,9
8,2024,3,875505.93,772.205,9.43,2641.12,21
8,2024,4,1088659.27,810.947,5.53,4887.5,19
8,2024,5,928309.81,368.605,4.51,2633.85,14
8,2024,6,690838.04,162.984,3.21,1693.07,18
8,2024,7,946982.39,830.867,7.96,3368.53,16
8,2024,8,789872.21,373.043,7.16,1681.42,7
8,2024,9,705279.02,349.448,6.55,1778.08,16
8,2024,10,661024.46,409.61,9.95,1327.75,16
8,2024,11,767130.48,676.399,6.75,3338.56,14
8,2024,12,696892.46,395.613,7.16,1781.87,20
8,2025,1,668056.48,388.672,7.17,1748.65,21
8,2025,2,712199.45,486.367,7.28,2387.53,19
8,2025,3,896003.55,773.556,6.97,3580.86,17
8,2025,4,810987.42,492.681,6.6,2487.5,16
8,2025,5,635712.97,191.415,3.66,1687.76,11
8,2025,6,597454.85,320.078,4.05,2637.24,13
8,2025,7,864960.22,1092.491,9.39,3753.87,16
8,2025,8,793918.66,481.061,9.15,1696.23,8
8,2025,9,648632.64,323.021,8.48,1269.63,6
8,2025,10,1017618.92,1158.746,9.06,4126.16,17
8,2025,11,718235.39,101.428,3.16,1069.24,5
8,2025,12,710434.42,478.616,9.21,1675.81,8
9,2024,1,572534.45,480.939,7.21,2151.03,14
9,2024,2,512729.5,264.299,5.64,1615.79,14
9,2024,3,521926.8,338.702,5.38,2032.21,10
9,2024,4,428069.86,169.953,8.27,684.64,7
9,2024,5,446409.21,304.195,6.65,1474.69,13
9,2024,6,374322.91,134.744,6.37,705.05,8
9,2024,7,357976.49,236.268,4.77,1598.79,16
9,2024,8,712784.82,892.382,9.31,3091.5,13
9,2024,9,508835.34,121.578,3.96,1022.21,11
9,2024,10,598667.47,565.956,8.92,2046.58,21
9,2024,11,480144.96,201.899,4.12,1632.62,13
9,2024,12,435576.83,233.699,5.07,1486.26,7
9,2025,1,440958.58,181.192,4.45,1314.14,6
9,2025,2,477349.75,425.299,3.7,4102.13,17
9,2025,3,566022.18,441.595,6.15,2316.63,15
9,2025,4,658271.27,510.63,9.12,1865.92,8
9,2025,5,600178.46,269.945,4.13,2109.08,17
9,2025,6,600081.74,393.309,6.62,1979.32,9
9,2025,7,501271.76,211.621,3.92,1740.43,11
9,2025,8,661739.76,700.055,9.67,2334.72,14
9,2025,9,546910.97,253.977,3.21,2637.04,21
9,2025,10,481458.14,248.137,7.26,1103.01,8
9,2025,11,454931.88,439.904,9.92,1478.14,13
9,2025,12,429403.59,290.362,4.07,2301.27,14
10,2024,1,712405.73,1017.46,7.36,4460.05,20
10,2024,2,634492.47,324.36,9.47,1181.52,10
10,2024,3,771371.17,677.355,4.97,4399.71,17
10,2024,4,543927.85,62.962,4.07,516.13,5
10,2024,5,477184.03,241.093,8.08,962.14,7
10,2024,6,707006.16,711.503,6.31,3758.9,20
10,2024,7,784848.04,782.399,8.92,2828.8,14
10,2024,8,783191.88,492.206,8.25,1925.18,8
10,2024,9,853177.19,660.495,9.63,2285.59,17
10,2024,10,825835.08,524.616,6.93,2441.04,16
10,2024,11,805891.85,597.028,7.53,2643.06,17
10,2024,12,712623.31,383.057,3.88,3184.18,20
10,2025,1,567232.29,135.745,3.14,1395.27,7
10,2025,2,796145.14,889.718,9.02,3521.08,16
10,2025,3,585025.42,111.603,3.97,906.69,7
10,2025,4,457279.33,226.23,4.42,1707.01,7
10,2025,5,617439.92,506.88,4.79,3416.6,18
10,2025,6,948630.44,933.974,5.8,5369.77,21
10,2025,7,1024398.8,749.58,7.27,3325.27,14
10,2025,8,896932.23,418.851,5.26,2570.89,11
10,2025,9,725440.81,237.593,4.71,1681.68,12
10,2025,10,1012591.85,1061.416,9.85,3476.97,15
10,2025,11,774521.47,247.573,6.2,1332.07,8
10,2025,12,672012.17,334.428,4.8,2245.32,17
11,2024,1,378842.74,486.308,4.17,3758.44,16
11,2024,2,752213.96,1035.569,8.87,4023.94,18
11,2024,3,854224.1,697.803,9.99,2253.17,15
11,2024,4,721527.33,206.179,7.34,936.62,6
11,2024,5,691048.82,416.093,8.54,1572.59,15
11,2024,6,546229.26,135.791,3.78,1196.53,6
11,2024,7,499110.92,253.243,6.51,1255.75,7
11,2024,8,850615.64,961.482,10.0,3102.81,12
11,2024,9,878681.26,641.949,5.23,4092.79,16
11,2024,10,756884.45,362.465,7.71,1517.34,17
11,2024,11,830262.88,647.013,5.92,3645.14,16
11,2024,12,1015776.7,850.458,6.44,4260.75,19
11,2025,1,726686.51,172.061,4.07,1362.16,14
11,2025,2,543215.08,143.023,3.0,1700.6,19
11,2025,3,511605.52,321.715,8.76,1184.44,6
11,2025,4,492295.13,308.783,8.76,1174.72,5
11,2025,5,421262.48,191.101,8.16,755.03,5
11,2025,6,353004.84,253.624,8.25,1024.51,6
11,2025,7,397394.85,330.998,8.26,1292.59,11
11,2025,8,327033.79,117.14,4.23,893.86,8
11,2025,9,398800.25,380.671,7.57,1675.17,16
11,2025,10,1030833.71,1519.809,9.83,4987.82,21
11,2025,11,877922.38,447.812,5.02,2971.4,15
11,2025,12,768482.85,390.999,8.8,1433.31,8
12,2024,1,387171.83,500.735,4.82,3350.29,20
12,2024,2,625805.64,689.556,6.93,3431.85,15
12,2024,3,543718.84,206.057,6.95,956.58,7
12,2024,4,450468.78,140.297,4.49,1042.5,13
12,2024,5,756711.44,843.184,6.29,4324.46,18
12,2024,6,509101.79,85.838,4.51,634.95,7
12,2024,7,384458.72,135.745,3.69,1185.37,10
12,2024,8,353722.6,218.456,3.94,1787.28,16
12,2024,9,320079.7,148.458,5.5,899.49,10
12,2024,10,339706.73,367.699,9.22,1286.67,11
12,2024,11,419586.65,377.025,7.34,1712.9,17
12,2024,12,470280.91,350.709,8.74,1294.61,6
12,2025,1,495011.93,298.295,5.27,1826.73,12
12,2025,2,373503.93,132.127,4.19,1125.57,5
12,2025,3,564981.56,626.368,5.67,3566.63,14
12,2025,4,515830.92,210.897,5.25,1339.64,13
12,2025,5,674801.08,572.19,5.51,3349.43,18
12,2025,6,1073146.87,1048.936,9.49,3685.37,19
12,2025,7,1031126.87,627.402,6.98,2901.39,18
12,2025,8,810543.68,292.333,5.25,1797.92,10
12,2025,9,723182.57,372.087,8.06,1538.48,14
12,2025,10,575425.47,279.483,8.29,1087.69,6
12,2025,11,800851.62,907.661,7.68,3938.15,21
12,2025,12,976189.68,884.258,9.47,3012.95,20
13,2024,1,274692.61,358.056,3.19,3625.6,20
13,2024,2,417989.13,491.939,6.26,2709.68,16
13,2024,3,749183.99,828.639,5.61,4763.55,20
13,2024,4,649328.99,275.239,8.42,1089.06,10
13,2024,5,725043.95,635.656,8.99,2281.0,9
13,2024,6,897994.49,843.085,5.62,4999.4,21
13,2024,7,1004764.23,722.664,9.88,2360.68,13
13,2024,8,831634.57,349.943,5.92,1905.76,13
13,2024,9,622233.89,161.415,5.13,1049.53,8
13,2024,10,709689.49,638.931,6.25,3299.96,19
13,2024,11,694530.2,487.625,7.33,2217.18,15
13,2024,12,646938.83,388.404,4.5,2784.08,16
13,2025,1,624307.31,378.148,9.63,1266.54,13
13,2025,2,618398.83,254.946,3.57,2553.95,10
13,2025,3,677331.04,586.585,6.02,3144.49,20
13,2025,4,984690.98,1131.102,9.71,3882.57,15
13,2025,5,826460.16,349.026,3.32,3395.53,14
13,2025,6,610553.21,103.743,3.42,1011.51,10
13,2025,7,846760.44,899.598,6.97,4162.18,17
13,2025,8,726500.92,387.834,9.78,1279.06,14
13,2025,9,690407.76,361.971,3.66,3296.63,13
13,2025,10,740284.97,629.237,9.83,2064.63,9
13,2025,11,827108.31,685.102,6.82,3348.63,15
13,2025,12,749879.06,438.891,7.93,1784.47,7
14,2024,1,314394.36,152.32,3.63,1354.24,9
14,2024,2,464384.35,486.525,9.51,1763.22,11
14,2024,3,482500.51,356.685,9.83,1170.48,10
14,2024,4,576233.64,513.543,9.84,1739.58,7
14,2024,5,458733.17,136.072,4.37,1005.39,11
14,2024,6,425375.42,273.92,7.38,1236.9,7
14,2024,7,928986.04,1337.677,9.64,4475.35,19
14,2024,8,796438.52,340.303,6.06,1810.01,15
14,2024,9,628120.9,227.617,4.28,1772.86,10
14,2024,10,728507.62,678.19,6.04,3620.04,18
14,2024,11,714225.26,643.675,4.32,4972.01,20
14,2024,12,512695.88,246.908,6.56,1214.63,7
14,2025,1,383842.47,183.819,5.95,996.18,6
14,2025,2,465666.16,328.805,7.46,1573.44,13
14,2025,3,432790.31,236.825,6.33,1207.08,5
14,2025,4,612063.24,599.858,8.47,2360.08,12
14,2025,5,574711.62,260.877,5.43,1548.73,8
14,2025,6,829963.87,806.754,5.6,4805.21,19
14,2025,7,713973.95,450.746,6.22,2338.41,11
14,2025,8,503082.18,183.304,4.39,1346.9,13
14,2025,9,381323.02,116.936,3.78,1032.52,8
14,2025,10,426510.08,361.115,5.04,2311.6,20
14,2025,11,453116.36,447.176,4.23,3526.96,17
14,2025,12,425903.06,275.896,4.91,1811.12,17
15,2024,1,452381.03,347.266,6.37,1759.17,19
15,2024,2,661093.84,645.653,6.14,3627.41,16
15,2024,3,495495.21,217.28,6.27,1117.44,10
15,2024,4,520461.56,369.272,5.2,2368.53,11
15,2024,5,404332.45,116.461,5.58,672.67,5
15,2024,6,541864.27,577.628,6.49,2968.81,12
15,2024,7,817373.65,817.192,9.23,2856.49,15
15,2024,8,644077.82,378.544,3.57,3422.32,21
15,2024,9,580327.23,385.12,6.98,1839.9,12
15,2024,10,430640.86,183.608,4.58,1294.26,13
15,2024,11,834703.79,1181.784,9.23,4268.23,18
15,2024,12,838549.12,604.84,7.24,2693.36,21
15,2025,1,702308.63,363.572,4.19,2800.01,21
15,2025,2,781148.1,572.367,5.82,3512.22,14
15,2025,3,750820.45,480.614,8.68,1785.33,16
15,2025,4,584695.36,195.538,7.74,841.68,8
15,2025,5,781694.35,801.107,4.85,5325.88,21
15,2025,6,675121.79,285.774,8.43,1129.92,9
15,2025,7,484580.85,188.997,3.03,2012.01,17
15,2025,8,444336.96,228.223,4.46,1652.16,19
15,2025,9,629340.89,671.668,8.23,2720.56,18
15,2025,10,434237.37,125.773,5.87,691.14,6
15,2025,11,665868.16,787.175,9.88,2655.54,13
15,2025,12,720544.46,540.494,4.72,3693.04,15
16,2024,1,256083.11,185.613,4.3,1393.21,12
16,2024,2,602523.98,726.795,9.35,2679.49,12
16,2024,3,549892.48,230.88,3.95,1887.77,15
16,2024,4,498598.25,290.295,8.93,1084.0,9
16,2024,5,488310.73,307.684,8.48,1170.39,6
16,2024,6,548409.75,437.706,8.94,1632.26,7
16,2024,7,683461.41,583.227,7.33,2565.84,19
16,2024,8,1133289.77,1243.131,9.57,4190.47,19
16,2024,9,790600.75,215.531,8.21,874.71,5
16,2024,10,645432.89,278.299,4.67,1923.03,19
16,2024,11,723366.69,501.443,8.51,1964.54,13
16,2024,12,793388.05,714.606,7.75,2976.04,14
16,2025,1,943779.22,631.368,8.05,2529.13,10
16,2025,2,935810.28,539.592,7.47,2580.64,18
16,2025,3,775531.84,349.161,9.13,1233.82,8
16,2025,4,680509.38,264.265,9.86,893.41,6
16,2025,5,590496.77,284.254,7.24,1265.71,9
16,2025,6,489768.33,206.968,4.54,1519.22,18
16,2025,7,455568.02,227.42,5.44,1349.07,15
16,2025,8,517023.93,586.554,9.62,1967.66,13
16,2025,9,693553.96,768.875,9.2,2785.8,13
16,2025,10,730430.22,612.351,4.72,4185.1,19
16,2025,11,722368.9,464.373,7.45,2078.03,10
16,2025,12,841864.5,663.068,6.15,3479.79,21
17,2024,1,644743.63,593.496,7.05,2715.51,19
17,2024,2,1058418.91,1196.746,9.45,4365.37,18
17,2024,3,787300.0,103.086,3.84,865.8,9
17,2024,4,552751.07,87.98,3.93,746.64,8
17,2024,5,546217.37,330.335,9.18,1161.38,6
17,2024,6,681948.03,689.695,6.13,3749.31,18
17,2024,7,575724.82,200.472,4.82,1340.3,6
17,2024,8,496048.94,266.905,5.31,1621.01,7
17,2024,9,591944.31,639.525,5.15,4136.38,19
17,2024,10,525202.12,229.653,5.07,1462.58,6
17,2024,11,554493.36,418.746,7.27,1919.35,10
17,2024,12,696883.23,686.592,7.72,2867.72,14
17,2025,1,571992.82,292.025,3.61,2611.65,17
17,2025,2,559266.12,334.599,4.66,2564.68,12
17,2025,3,467197.9,166.154,6.49,825.3,5
17,2025,4,675657.84,575.906,6.7,2864.95,17
17,2025,5,605586.51,238.935,6.37,1209.77,7
17,2025,6,556297.45,287.911,9.74,985.79,6
17,2025,7,410026.16,108.545,3.0,1165.61,12
17,2025,8,349878.05,169.579,3.23,1696.19,8
17,2025,9,288039.37,146.419,7.39,660.75,6
17,2025,10,555657.79,795.22,8.32,3084.13,20
17,2025,11,986259.64,1218.204,8.95,4538.03,21
17,2025,12,748565.0,252.154,4.75,1711.33,13
18,2024,1,556270.19,202.501,7.47,874.1,5
18,2024,2,661464.49,476.135,6.7,2450.59,21
18,2024,3,1431189.67,1579.248,9.9,5148.24,20
18,2024,4,1084011.73,242.571,5.25,1541.32,12
18,2024,5,830193.16,247.385,5.86,1362.2,7
18,2024,6,608184.57,211.7,3.89,1813.78,13
18,2024,7,734584.07,655.099,8.32,2541.34,21
18,2024,8,583359.14,215.95,4.24,1643.34,12
18,2024,9,535358.35,305.135,7.07,1438.21,16
18,2024,10,390116.4,145.518,7.25,647.83,6
18,2024,11,539573.39,685.374,9.25,2469.45,11
18,2024,12,513754.22,309.068,6.85,1456.22,6
18,2025,1,785522.32,845.101,7.2,3788.41,18
18,2025,2,670062.82,380.78,6.34,2144.78,16
18,2025,3,680403.66,603.045,7.98,2437.77,17
18,2025,4,533360.87,213.736,7.27,979.61,5
18,2025,5,381917.32,154.517,6.33,788.03,8
18,2025,6,369664.52,204.09,4.57,1490.21,17
18,2025,7,449943.09,402.716,9.48,1370.37,6
18,2025,8,403697.49,195.533,9.47,665.72,8
18,2025,9,1020798.58,1355.824,9.34,4838.09,19
18,2025,10,808097.28,443.613,8.95,1599.16,17
18,2025,11,649060.38,290.728,4.08,2378.11,13
18,2025,12,772293.25,703.142,8.94,2536.33,12
19,2024,1,521186.45,733.689,5.58,4239.25,20
19,2024,2,859424.13,955.72,9.6,3433.63,21
19,2024,3,990161.09,863.92,8.96,3109.6,21
19,2024,4,992098.69,675.986,4.81,4689.21,19
19,2024,5,795758.56,321.326,7.72,1342.77,14
19,2024,6,620937.74,287.742,8.28,1158.89,7
19,2024,7,497469.37,239.475,8.9,868.06,5
19,2024,8,553296.61,442.557,3.81,3745.72,19
19,2024,9,463017.52,226.731,7.81,967.36,9
19,2024,10,360630.65,138.918,6.09,736.13,7
19,2024,11,333484.01,169.065,7.3,771.91,9
19,2024,12,269421.01,86.011,3.1,896.04,9
19,2025,1,364651.44,395.224,5.64,2258.54,10
19,2025,2,306246.36,170.766,6.61,923.23,11
19,2025,3,770480.69,1117.247,9.6,3755.43,17
19,2025,4,617868.98,195.494,4.99,1304.95,6
19,2025,5,542991.62,235.978,3.3,2309.23,9
19,2025,6,561507.74,341.844,5.35,2128.28,20
19,2025,7,527931.78,226.979,5.27,1390.07,6
19,2025,8,489894.17,241.088,3.92,1985.73,12
19,2025,9,517497.51,390.974,3.63,3585.36,21
19,2025,10,545188.1,465.904,9.8,1533.91,9
19,2025,11,576789.46,406.176,4.96,2731.65,17
19,2025,12,861062.27,1016.885,9.84,3335.07,19
20,2024,1,249152.3,307.052,7.76,1276.36,11
20,2024,2,326721.51,223.02,5.49,1401.68,11
20,2024,3,501658.13,483.866,8.97,1740.41,12
20,2024,4,529364.13,470.354,5.4,2904.2,12
20,2024,5,580866.35,439.05,8.23,1720.94,14
20,2024,6,568400.11,378.336,7.25,1740.5,7
20,2024,7,515033.94,290.514,4.14,2263.63,16
20,2024,8,581327.06,531.772,7.29,2352.51,21
20,2024,9,438321.96,147.32,3.76,1306.81,15
20,2024,10,336716.79,118.772,4.96,773.15,9
20,2024,11,345532.57,268.839,5.3,1692.26,12
20,2024,12,431686.69,329.255,8.3,1280.19,11
20,2025,1,365297.15,141.693,5.2,878.64,5
20,2025,2,659629.29,782.604,9.27,3015.6,13
20,2025,3,807199.98,678.83,9.5,2303.89,17
20,2025,4,798673.52,431.235,3.65,3935.09,18
20,2025,5,991833.01,801.323,7.22,3581.76,16
20,2025,6,865487.69,413.064,5.9,2333.99,18
20,2025,7,758915.55,334.984,5.98,1808.31,12
20,2025,8,687704.88,401.999,5.98,2167.86,9
20,2025,9,556924.23,123.524,6.52,631.64,5
20,2025,10,573652.35,398.692,5.89,2182.11,12
20,2025,11,916965.54,1037.908,9.77,3540.0,16
20,2025,12,888140.6,476.682,4.19,3670.02,21
21,2024,1,264551.1,151.856,6.95,705.13,7
21,2024,2,633023.37,947.931,8.71,3752.28,20
21,2024,3,565439.85,236.706,3.83,1993.26,10
21,2024,4,478035.74,161.245,5.26,1021.28,9
21,2024,5,428584.48,162.503,3.73,1405.72,13
21,2024,6,640348.27,544.182,6.38,2844.67,12
21,2024,7,1132121.59,1477.107,9.63,4946.68,20
21,2024,8,826348.42,177.56,5.91,968.65,6
21,2024,9,703201.97,409.335,3.47,3932.03,19
21,2024,10,560615.16,298.561,7.59,1269.21,9
21,2024,11,677121.73,564.171,3.96,4754.56,20
21,2024,12,625545.17,472.851,5.08,3003.75,17
21,2025,1,546608.51,284.039,4.38,2092.52,14
21,2025,2,463600.0,204.608,5.42,1348.81,9
21,2025,3,448666.57,281.106,9.76,928.77,5
21,2025,4,450942.21,250.861,3.41,2451.47,11
21,2025,5,440342.76,257.393,3.65,2275.11,14
21,2025,6,763301.89,888.833,6.55,4520.74,21
21,2025,7,888413.22,732.635,8.28,2853.59,15
21,2025,8,761370.41,277.451,6.89,1298.36,15
21,2025,9,694700.72,342.647,4.32,2645.88,17
21,2025,10,562143.5,211.721,3.66,1868.56,16
21,2025,11,451259.43,234.042,9.8,795.7,6
21,2025,12,329371.94,171.014,5.09,1082.99,8
22,2024,1,855627.29,1263.23,9.64,4226.18,20
22,2024,2,640966.83,147.001,6.05,837.44,5
22,2024,3,877684.52,756.403,9.29,2627.38,14
22,2024,4,715030.61,229.145,4.26,1790.92,12
22,2024,5,720414.2,392.921,6.47,1957.8,9
22,2024,6,526023.45,112.567,5.82,644.39,7
22,2024,7,386492.83,175.938,4.39,1293.74,11
22,2024,8,629082.62,676.997,5.64,3874.06,21
22,2024,9,878949.76,945.167,9.08,3470.67,17
22,2024,10,663017.96,144.169,4.19,1109.34,12
22,2024,11,658169.2,458.99,3.46,4415.76,21
22,2024,12,443247.14,84.812,3.17,864.06,9
